keywords,sentiment_coeff
project,-1.1456403772612576
gutenberg,-1.1829464794136269
ebook,-1.1139392087731277
sherlock,1.1343413714801553
holmes,1.12467027175991
sir,1.142015274498939
arthur,1.1185592486877685
15,-1.1849127362482128
series,-1.1551650689663806
copyright,-1.0726826500989175
laws,-1.177740841099288
changing,1.0851687588532888
world,-1.1173666434988028
sure,1.3595914576946728
check,-1.1400886878572165
country,-1.1387949159982331
first,-1.1266742441188757
thing,1.2466204396896277
seen,1.1871733807516909
file,-1.106640822710278
please,1.2082246260861491
remove,-1.1682806449359735
change,-1.1181544131597678
without,1.1525140096948499
written,1.0891649677854043
permission,1.0904513534522144
read,1.1243928440243902
legal,-1.13292664060738
small,-1.0929546601559257
print,-1.0604802259344086
information,-1.0548918210375535
bottom,1.088283237715317
included,-1.2200837945013894
important,-1.1524956026280766
specific,-1.3167162073822714
rights,-1.1964292302237283
restrictions,-1.380112746216485
may,-1.1933776171045207
used,1.0892366338915107
also,-1.2588624923402632
find,1.2222409063744573
make,1.1473424512234707
get,1.1925622865063097
involved,-1.2831283431554834
free,-1.1719177390111473
plain,1.188980173161473
electronic,-1.1444837260760026
ebooks,-1.0926818352921766
since,1.1110297274288754
prepared,1.1422157210728447
thousands,1.054155385177929
volunteers,-1.2256802678595415
!,1.2560385777781042
title,-1.1748287786516471
author,1.1235487003335851
release,-1.1139986545400382
date,-1.1330958189956015
march,-1.0270921924755683
recently,1.223069351871676
november,-1.092846800129702
29,-1.2829195839125158
edition,-1.2827043361004136
12,-1.249264504000276
language,-1.1295850445399218
english,-1.0747956740944604
character,-1.239128060082036
set,1.1314171965495115
start,1.17663578388428
additional,-1.2829161498604718
contents,-1.0807237039073887
ii,-1.1311148727064828
red,1.0445239906223491
headed,1.0222988442839809
league,-1.0850072565923978
iii,-1.0671442969875469
case,-1.1476198669850584
iv,-1.196064311339449
valley,-1.0606083255520822
mystery,1.1841234858109717
v,-1.1645059883771505
five,1.0131950548920612
orange,-1.1249326016908086
vi,-1.1643374759632885
